SEASON,TEAM,AGE,GP,GS,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF
2002-03,WAS,40,82,67,36.9,20.0,8.3,18.6,44.5,0.2,0.7,29.1,3.2,4.0,82.1,0.9,5.2,6.1,3.8,1.5,0.5,2.1,2.1
2001-02,WAS,39,60,53,34.8,22.9,9.2,22.1,41.6,0.2,0.9,18.9,4.4,5.6,79.0,0.8,4.8,5.7,5.2,1.4,0.4,2.7,2.0
1997-98,CHI,35,82,82,38.8,28.7,10.7,23.1,46.5,0.4,1.5,23.8,6.9,8.8,78.4,1.6,4.2,5.8,3.5,1.7,0.5,2.3,1.8
1996-97,CHI,34,82,82,37.9,29.6,11.2,23.1,48.6,1.4,3.6,37.4,5.9,7.0,83.3,1.4,4.5,5.9,4.3,1.7,0.5,2.0,1.9
1995-96,CHI,33,82,82,37.7,30.4,11.2,22.6,49.5,1.4,3.2,42.7,6.7,8.0,83.4,1.8,4.8,6.6,4.3,2.2,0.5,2.4,2.4
1994-95,CHI,32,17,17,39.3,26.9,9.8,23.8,41.1,0.9,1.9,50.0,6.4,8.0,80.1,1.5,5.4,6.9,5.3,1.8,0.8,2.1,2.8
1992-93,CHI,30,78,78,39.3,32.6,12.7,25.7,49.5,1.0,2.9,35.2,6.1,7.3,83.7,1.7,5.0,6.7,5.5,2.8,0.8,2.7,2.4
1991-92,CHI,29,80,80,38.8,30.1,11.8,22.7,51.9,0.3,1.3,27.0,6.1,7.4,83.2,1.1,5.3,6.4,6.1,2.3,0.9,2.5,2.5
1990-91,CHI,28,82,82,37.0,31.5,12.1,22.4,53.9,0.4,1.1,31.2,7.0,8.2,85.1,1.4,4.6,6.0,5.5,2.7,1.0,2.5,2.8
1989-90,CHI,27,82,82,39.0,33.6,12.6,24.0,52.6,1.1,3.0,37.6,7.2,8.5,84.8,1.7,5.1,6.9,6.3,2.8,0.7,3.0,2.9
1988-89,CHI,26,81,81,40.2,32.5,11.9,22.2,53.8,0.3,1.2,27.6,8.3,9.8,85.0,1.8,6.2,8.0,8.0,2.9,0.8,3.6,3.0
1987-88,CHI,25,82,82,40.4,35.0,13.0,24.4,53.5,0.1,0.6,13.2,8.8,10.5,84.1,1.7,3.8,5.5,5.9,3.2,1.6,3.1,3.3
1986-87,CHI,24,82,82,40.0,37.1,13.4,27.8,48.2,0.1,0.8,18.2,10.2,11.9,85.7,2.0,3.2,5.2,4.6,2.9,1.5,3.3,2.9
1985-86,CHI,23,18,7,25.1,22.7,8.3,18.2,45.7,0.2,1.0,16.7,5.8,6.9,84.0,1.3,2.3,3.6,2.9,2.1,1.2,2.5,2.6
1984-85,CHI,22,82,82,38.3,28.2,10.2,19.8,51.5,0.1,0.6,17.3,7.7,9.1,84.5,2.0,4.5,6.5,5.9,2.4,0.8,3.5,3.5
